umap_1,umap_2,age,cell_type,Picalm,Adam10,App,Sorl1,Psen1
2.775155,23.448515,0d,Mesothelial,1.0,1.0,2.0,0.0,0.0
2.5282888,16.367254,0d,Fibroblast,0.0,0.0,0.0,0.0,0.0
2.7272341,24.742743,0d,Mesothelial,0.0,0.0,0.0,0.0,1.0
-1.3205321,14.925402,0d,Colonocyte,1.0,1.0,1.0,0.0,2.0
6.296212,13.96471,0d,Fibroblast,2.0,0.0,1.0,0.0,1.0
-2.1135848,9.628054,0d,TA,4.0,4.0,13.0,1.0,4.0
4.49213,20.56237,0d,SMC,2.0,1.0,4.0,0.0,1.0
3.2966383,15.525869,0d,Fibroblast,1.0,1.0,4.0,0.0,1.0
2.4963098,16.535498,0d,Fibroblast,1.0,2.0,0.0,0.0,0.0
-8.586355,5.904679,0d,TA,2.0,0.0,1.0,1.0,0.0
5.1497827,9.279394,0d,Cycling,0.0,2.0,3.0,2.0,1.0
-7.7548103,9.176855,0d,TA,1.0,3.0,1.0,0.0,0.0
5.484536,7.854807,0d,Cycling,0.0,2.0,1.0,0.0,1.0
-3.198043,11.316201,0d,Colonocyte,2.0,0.0,10.0,1.0,1.0
2.7905242,25.025393,0d,Mesothelial,1.0,3.0,4.0,0.0,0.0
2.4621549,25.455425,0d,Mesothelial,1.0,1.0,2.0,0.0,1.0
2.9936817,23.833727,0d,Mesothelial,0.0,0.0,1.0,0.0,0.0
-3.006691,4.4958296,0d,TA,0.0,0.0,0.0,0.0,1.0
2.4612918,24.860987,0d,Mesothelial,0.0,3.0,0.0,0.0,0.0
4.948833,16.2591,0d,Fibroblast,1.0,0.0,0.0,0.0,0.0
-1.4456011,13.717025,0d,Colonocyte,0.0,1.0,2.0,0.0,2.0
4.273534,14.934364,0d,Fibroblast,1.0,0.0,2.0,0.0,2.0
12.65359,6.8061266,0d,Neuron,1.0,0.0,4.0,1.0,0.0
3.9004407,-1.7672641,0d,Enteroendocrine,0.0,0.0,2.0,0.0,2.0
9.356426,10.802791,0d,Macrophage,0.0,2.0,0.0,0.0,0.0
5.9576163,20.462992,0d,SMC,1.0,0.0,0.0,0.0,0.0
4.617601,18.042809,0d,SMC,0.0,1.0,0.0,0.0,0.0
-6.135965,7.655449,0d,Cycling,0.0,0.0,1.0,0.0,1.0
-0.01552821,12.018453,0d,Colonocyte,0.0,0.0,2.0,2.0,0.0
-9.132855,5.336376,0d,TA,0.0,0.0,1.0,0.0,1.0
6.2012463,14.051384,0d,Fibroblast,0.0,0.0,2.0,1.0,0.0
3.0714288,16.184841,0d,Fibroblast,0.0,0.0,0.0,0.0,2.0
13.40043,11.83497,0d,Glia,0.0,1.0,4.0,0.0,0.0
-3.2435794,13.65596,0d,Colonocyte,2.0,10.0,18.0,4.0,1.0
1.9478157,8.790105,0d,TA,0.0,2.0,1.0,0.0,0.0
3.960417,18.905508,0d,SMC,1.0,1.0,1.0,0.0,0.0
6.112779,6.527535,0d,Cycling,0.0,1.0,1.0,0.0,0.0
3.69768,-2.0165026,0d,Enteroendocrine,0.0,0.0,3.0,0.0,0.0
-8.393261,8.048392,0d,TA,0.0,2.0,0.0,1.0,0.0
1.6153935,10.761865,0d,TA,1.0,2.0,4.0,0.0,3.0
3.003852,15.6881485,0d,Fibroblast,1.0,0.0,10.0,0.0,0.0
9.767103,16.587814,0d,Lymphatic,1.0,0.0,1.0,0.0,0.0
2.688728,24.911278,0d,Mesothelial,0.0,2.0,2.0,0.0,0.0
2.924495,23.776903,0d,Mesothelial,1.0,0.0,0.0,0.0,1.0
1.4031315,10.606342,0d,TA,0.0,0.0,3.0,3.0,3.0
5.410509,14.852294,0d,Fibroblast,0.0,1.0,4.0,0.0,0.0
3.3413033,19.10579,0d,SMC,0.0,1.0,0.0,0.0,0.0
-0.36414465,4.9657702,0d,Stem,1.0,0.0,4.0,0.0,0.0
2.8283482,15.640754,0d,Fibroblast,0.0,1.0,0.0,0.0,0.0
-9.316495,9.387531,0d,TA,0.0,2.0,2.0,0.0,2.0
