organ,age_months,n_samples,n_spots_total,n_spots_pAD_valid,median_logp,q25_logp,q75_logp,frac_genomewide_sig
Ileum,23,1.0,9998.0,9901.0,1.8889831654884308,1.0089986137976383,2.74128638801689,0.0
Ileum,24,1.0,9986.0,9986.0,1.8085537625503663,1.2814784600231668,2.4461721077983407,0.001001401962747847
Kidney,1,1.0,2422.0,2375.0,2.270345772633312,1.3621303446788389,3.273212049652872,0.0
Kidney,3,2.0,12056.0,11829.0,0.8511631533859081,0.4426056330216514,1.4659590384029042,0.0
Kidney,6,1.0,9773.0,9582.0,0.7319412291771825,0.330454353348711,1.2311528983233995,0.0
Kidney,12,1.0,9795.0,9611.0,0.7077028310747844,0.33444353974755625,1.2041366270929457,0.0
Kidney,16,1.0,9800.0,9649.0,0.7522208795667482,0.3493671849899962,1.263924693901294,0.0
Kidney,18,1.0,3040.0,3003.0,2.587459469696756,1.7256748435982114,3.406729200076345,0.003996003996003996
Kidney,21,1.0,2204.0,2141.0,2.8325805433789153,1.7631536403344823,3.7523810507046367,0.003269500233535731
Kidney,23,1.0,9795.0,9638.0,0.7062604276817314,0.34883721263911643,1.1756673695502429,0.0
Kidney,24,1.0,5508.0,5508.0,3.6589945194186297,2.97029531187795,4.50858574231356,0.01670297748729121
Kidney,30,1.0,5511.0,5486.0,2.508281010492788,1.669983855638038,3.5409318202848175,0.01002551950419249
Liver,1,1.0,2785.0,2725.0,3.4063498169197857,2.330631267575128,4.465254953160063,0.0066055045871559635
Liver,3,2.0,10710.0,10669.0,1.3891688342558517,0.8093381865746143,2.042056909128431,0.0
Liver,6,1.0,9973.0,9944.0,1.5637092775769001,0.9875128682923233,2.145304146997659,0.0
Liver,12,1.0,9969.0,9958.0,1.435545190052582,0.9364697021211547,2.008088204490378,0.0
Liver,16,1.0,9969.0,9955.0,1.2987067853693264,0.7944023287227266,1.9025616135454357,0.0
Liver,18,1.0,1176.0,1094.0,3.191260307773683,1.3875423352298024,4.442736291084092,0.06672760511882998
Liver,21,1.0,367.0,321.0,3.444642105328031,2.8624046722057535,4.3443381611681495,0.0
Liver,23,1.0,9983.0,9961.0,1.2653597793115714,0.6622539052139425,2.1406239320927534,0.00010039152695512498
Liver,24,1.0,945.0,868.0,3.089145000278572,1.422040986725316,4.751995499740031,0.0956221198156682
Liver,30,1.0,2272.0,2250.0,5.224734587679369,2.270091540463133,6.372608019857137,0.09555555555555556
Lung,1,1.0,2507.0,2299.0,3.7602328649113472,2.2865297729557708,5.0129619107809065,0.01087429317094389
Lung,3,2.0,13606.0,13293.0,1.3166355680611042,0.6144807691986177,2.979499849546943,0.011284134506883321
Lung,6,1.0,9991.0,9945.0,1.1607873557254629,0.5783662693130133,2.6628250043134627,0.0005027652086475615
Lung,12,1.0,9995.0,9935.0,1.1649974511183552,0.5332461320440887,2.9971640395674966,0.0009058882737795671
Lung,16,1.0,9996.0,9915.0,1.06573876690274,0.46811164661146254,2.9985308731927596,0.0011094301563287948
Lung,18,1.0,4376.0,4242.0,3.132158254269644,2.0942651063960662,5.069969644659586,0.023573785950023574
Lung,21,1.0,2950.0,2751.0,3.092166479605868,2.2675174938944984,4.309120209186684,0.007997091966557615
Lung,23,1.0,9997.0,9928.0,1.7702719270607117,0.7364468208765416,3.3347176914727292,0.001007252215954875
Lung,24,1.0,1870.0,1743.0,1.7401298872015354,0.8864209189015793,3.8285959965301997,0.01835915088927137
Lung,30,1.0,9994.0,9836.0,4.226621454563476,3.2787235282901572,5.303825754137384,0.032126880845872306
Muscle,3,2.0,11097.0,11046.0,0.880521275696822,0.3530013983120218,1.616327594771308,0.0005431830526887561
Muscle,6,1.0,9999.0,9883.0,0.6305247121449908,0.26658893091886804,1.03181561245977,0.0
Muscle,12,1.0,9995.0,9862.0,0.6501901992029792,0.2523843756400918,1.143103478026235,0.0
Muscle,16,1.0,9997.0,9945.0,0.6517146344186321,0.2585231730411837,1.2002193023821943,0.0
Muscle,18,1.0,1521.0,1521.0,2.3177273485984244,1.477142559650601,3.368798538594289,0.01775147928994083
Muscle,21,1.0,3528.0,3477.0,1.674662288070731,1.04865686944244,2.87832232345325,0.00546448087431694
Muscle,23,1.0,9995.0,9943.0,0.5408719113025011,0.23936028013954122,1.0104836436611633,0.00010057326762546515
Muscle,24,1.0,1231.0,1231.0,1.604015842498206,1.0793722847068197,2.3469607710326192,0.016246953696181964
Muscle,30,1.0,3284.0,3284.0,2.225649197100703,0.8723807487262601,3.5442377098889812,0.004263093788063338
Pancreas,3,1.0,1588.0,1588.0,1.5974370806932898,1.01714117258289,2.279709962703234,0.0031486146095717885
Pancreas,18,1.0,2071.0,2046.0,1.3649357912548685,0.8715312858481762,2.0647667083475993,0.014173998044965786
Pancreas,21,1.0,1437.0,1368.0,1.8026332553312545,1.2200899842464883,2.5143216181027572,0.0
Pancreas,30,1.0,2642.0,2601.0,0.9942697121920177,0.6224975166642595,1.7641336637737726,0.0
Skin,3,1.0,2346.0,2308.0,2.2552757727631616,1.578384969526249,2.946205265806008,0.0
Skin,21,1.0,4352.0,4352.0,2.5337459292046436,1.6756950759625233,3.3869191372160365,0.0
Skin,24,1.0,1122.0,1102.0,1.7513192818978323,1.1698041179618888,2.3785934827044177,0.0
Spleen,1,1.0,2801.0,2734.0,3.812795798249507,3.0174660429059155,4.600680728695211,0.0073152889539136795
Spleen,3,1.0,6480.0,6407.0,3.970998644905784,3.2101518965430262,4.7109505160518745,0.007960043702200718
Spleen,6,1.0,9412.0,9389.0,3.443192889951256,2.613752016815667,4.348940567331872,0.01139631483651081
Spleen,12,1.0,9569.0,9515.0,2.1132504836112487,1.6362373439207096,2.6758542086010166,0.0
Spleen,18,1.0,5929.0,5855.0,3.845568339796189,3.074651926754906,4.623172999596797,0.0035866780529461998
Spleen,21,1.0,6186.0,6123.0,4.103401828190887,3.320866327421226,4.912423883205841,0.011922260329903641
Spleen,24,1.0,3954.0,3919.0,3.4239529358794516,2.664867598798633,4.391885693383901,0.01837203368206175
Spleen,30,1.0,8615.0,8593.0,3.4915941105312727,2.784199767522402,4.458396118012937,0.014546724077737693
Stomach,3,1.0,9440.0,9387.0,0.7582152211505451,0.2704577249612967,1.350951620969342,0.0
Stomach,6,1.0,9361.0,9314.0,0.6354682626345112,0.20724888932536545,1.2115643913147964,0.0
Stomach,12,2.0,17675.0,17567.0,1.092389516325203,0.48026206827907364,1.8099418005177328,0.0002846245801787442
Stomach,16,1.0,9353.0,9308.0,0.7182477944705762,0.2750651477481346,1.2425046876190633,0.0
Stomach,18,1.0,9552.0,9552.0,1.8924033935451972,1.4236261130820158,2.4570432248452256,0.0
Stomach,23,1.0,9353.0,9266.0,0.6702138149838743,0.241697994925977,1.3617883026714042,0.0
Stomach,24,1.0,9381.0,9363.0,1.6434825688183818,1.230932319763081,2.2213928012170214,0.0003204101249599487
Thymus,3,1.0,1430.0,1430.0,2.467649784994596,1.9384382891860232,3.143445003830148,0.0006993006993006993
Thymus,12,1.0,10000.0,10000.0,2.1895791212455995,1.6726522490385445,2.7910488226156467,0.0001
Thymus,18,1.0,2040.0,2040.0,2.6989901399796796,2.0468864974766108,3.2666433514981223,0.004901960784313725
Thymus,21,1.0,2792.0,2792.0,2.708418065016133,2.048424459610236,3.3606174683490115,0.0007163323782234957
Thymus,24,1.0,3013.0,2980.0,3.6233720469782904,2.9085410933094566,4.443391800922813,0.006711409395973154
