Gene,Annotation,Median_GSS,PCC
PGD,Colon Tissue,0.0,0.3446934311820369
KRT8,Colon Tissue,1.77734375,0.34462584555370734
PLEC,Colon Tissue,0.0,0.344188120325354
MYL12A,Colon Tissue,0.0,0.3440090553314906
TCIM,Colon Tissue,0.0,0.34383691232158753
ATP6V1G1,Colon Tissue,0.0,0.34379655732143233
GPX4,Colon Tissue,1.7421875,0.34353949697657415
MYO1A,Colon Tissue,0.0,0.34352555508421295
PTP4A2,Colon Tissue,0.0,0.3434110601483122
CD2AP,Colon Tissue,0.0,0.34287295352711766
SLC25A3,Colon Tissue,1.7666015625,0.3426886001130578
MYO7B,Colon Tissue,0.0,0.34210535856132174
BTG1,Colon Tissue,0.0,0.34208773680565907
NUS1,Colon Tissue,0.0,0.34145682510035696
MYO5B,Colon Tissue,0.0,0.34083602688250636
DPEP1,Colon Tissue,0.0,0.3407215936362909
SQSTM1,Colon Tissue,0.0,0.3403787669558196
NDUFV2,Colon Tissue,0.0,0.3400709600189684
B3GNT3,Colon Tissue,0.0,0.3399573825135903
NDUFS4,Colon Tissue,0.0,0.33987652103293453
UBC,Colon Tissue,1.76953125,0.33977597483457234
ATP5PD,Colon Tissue,1.7666015625,0.33976212845594544
ATP11B,Colon Tissue,0.0,0.33953981944102174
C11orf54,Colon Tissue,0.0,0.3392568089935138
ATP5ME,Colon Tissue,1.7373046875,0.3391723079457829
TMIGD1,Colon Tissue,0.0,0.33867852347027383
FLNB,Colon Tissue,0.0,0.33801042331949194
CA4,Colon Tissue,0.0,0.33789619265161924
UQCRQ,Colon Tissue,1.763671875,0.3376940170624486
CHMP2B,Colon Tissue,0.0,0.3375891771536983
ANK3,Colon Tissue,0.0,0.3373423853126821
NDUFB8,Colon Tissue,0.0,0.3365144386052271
HIGD2B,Colon Tissue,0.0,0.3360735487582362
TNS4,Colon Tissue,0.0,0.3357366070505474
GCNT3,Colon Tissue,1.7392578125,0.33556049567956764
SEMA4A,Colon Tissue,0.0,0.3352602072220336
CTNND1,Colon Tissue,0.0,0.3348463681721761
CDC42EP5,Colon Tissue,0.0,0.3341186618528292
ANKS4B,Colon Tissue,0.0,0.33392668396925335
CHMP1B,Colon Tissue,0.0,0.33392613631674173
