umap_1,umap_2,cell_type,PICALM,CD2AP,ADAM10,CR1,APP,SORL1,PSEN1
-1.4299666,4.7526255,enterocyte of epithelium of large intestine,1.0,3.0,5.0,0.0,6.0,3.0,0.0
2.9563441,2.6787846,transit amplifying cell of colon,0.0,3.0,3.0,0.0,4.0,2.0,0.0
13.815371,7.724292,enterocyte of epithelium of small intestine,5.0,4.0,1.0,0.0,4.0,7.0,1.0
11.88283,3.5902166,enterocyte of epithelium of small intestine,1.0,0.0,1.0,0.0,3.0,1.0,0.0
8.179709,2.499191,transit amplifying cell of small intestine,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.5682402,-4.5985136,colon goblet cell,0.0,2.0,2.0,0.0,0.0,2.0,0.0
-1.971175,-0.8931705,BEST4+ enterocyte,1.0,3.0,5.0,0.0,3.0,2.0,0.0
10.04618,9.270521,enterocyte of epithelium of small intestine,1.0,3.0,0.0,0.0,0.0,2.0,0.0
-1.3232007,2.0786247,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.58084,-4.822533,colon goblet cell,0.0,0.0,0.0,0.0,2.0,0.0,0.0
4.262908,-2.5855737,colon goblet cell,0.0,1.0,0.0,0.0,3.0,0.0,1.0
10.292066,5.970832,enterocyte of epithelium of small intestine,2.0,1.0,1.0,0.0,0.0,5.0,0.0
8.506341,11.225421,enterocyte of epithelium of small intestine,0.0,1.0,2.0,0.0,1.0,3.0,1.0
8.819161,10.944573,enterocyte of epithelium of small intestine,3.0,0.0,2.0,0.0,3.0,1.0,0.0
9.94949,8.497899,enterocyte of epithelium of small intestine,1.0,4.0,1.0,0.0,2.0,2.0,0.0
11.430063,5.074214,enterocyte of epithelium of small intestine,2.0,0.0,0.0,0.0,2.0,0.0,1.0
-0.9172842,2.705469,enterocyte of epithelium of large intestine,0.0,3.0,0.0,0.0,1.0,0.0,0.0
2.1724544,-3.5260854,colon goblet cell,3.0,2.0,3.0,0.0,7.0,2.0,0.0
10.793171,4.347336,enterocyte of epithelium of small intestine,3.0,4.0,0.0,0.0,5.0,2.0,1.0
14.243273,9.768071,enterocyte of epithelium of small intestine,1.0,4.0,1.0,0.0,0.0,0.0,2.0
9.791387,14.184995,enterocyte of epithelium of small intestine,1.0,0.0,0.0,0.0,2.0,1.0,0.0
11.237885,8.69915,enterocyte of epithelium of small intestine,1.0,3.0,3.0,0.0,11.0,0.0,1.0
12.039653,4.9449897,enterocyte of epithelium of small intestine,3.0,0.0,0.0,0.0,0.0,2.0,1.0
0.18642916,3.3455148,enterocyte of epithelium of large intestine,1.0,2.0,2.0,0.0,9.0,2.0,0.0
-1.1996166,2.530875,enterocyte of epithelium of large intestine,0.0,1.0,2.0,0.0,2.0,1.0,0.0
-0.5596314,3.3218107,enterocyte of epithelium of large intestine,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.5594133,1.772695,intestinal crypt stem cell of colon,0.0,4.0,1.0,0.0,6.0,1.0,0.0
8.168028,-4.334009,small intestine goblet cell,0.0,1.0,0.0,0.0,7.0,0.0,1.0
13.108406,6.230064,enterocyte of epithelium of small intestine,1.0,3.0,0.0,0.0,0.0,3.0,0.0
10.171311,8.707213,enterocyte of epithelium of small intestine,2.0,5.0,1.0,0.0,0.0,1.0,0.0
-2.252484,4.6261992,enterocyte of epithelium of large intestine,2.0,1.0,0.0,0.0,5.0,3.0,0.0
3.8271933,-3.7115963,colon goblet cell,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11.22344,5.483984,enterocyte of epithelium of small intestine,0.0,1.0,0.0,0.0,1.0,1.0,0.0
8.544338,-3.1090446,paneth cell of epithelium of small intestine,1.0,4.0,0.0,0.0,3.0,0.0,0.0
11.054509,12.276785,enterocyte of epithelium of small intestine,1.0,3.0,1.0,0.0,0.0,0.0,2.0
10.520929,2.8641942,enterocyte of epithelium of small intestine,2.0,2.0,0.0,0.0,3.0,1.0,1.0
